id	initL	initR	finalL	finalR	message (DEL=deleted NOC=no change MOD=modified)
93	0	1922	96	1904	MOD	skipped 0 overlaps; used 10 overlaps
94	0	1888	18	1826	MOD	skipped 0 overlaps; used 18 overlaps
95	0	1912	43	1912	MOD	skipped 0 overlaps; used 18 overlaps
96	0	1898	0	1898	NOC	skipped 0 overlaps; used 18 overlaps
97	0	12346	24	12337	MOD	skipped 0 overlaps; used 40 overlaps
98	0	2842	9	2547	MOD	skipped 0 overlaps; used 16 overlaps
99	0	6171	1718	6170	MOD	skipped 0 overlaps; used 22 overlaps
100	0	18114	308	18107	MOD	skipped 0 overlaps; used 59 overlaps
101	0	6855	0	6842	MOD	skipped 0 overlaps; used 30 overlaps
102	0	20056	37	20055	MOD	skipped 0 overlaps; used 66 overlaps
103	0	5600	315	5567	MOD	skipped 0 overlaps; used 19 overlaps
104	0	1564	153	1564	MOD	skipped 0 overlaps; used 12 overlaps
105	0	2623	232	2599	MOD	skipped 0 overlaps; used 22 overlaps
106	0	12476	17	12289	MOD	skipped 0 overlaps; used 42 overlaps
107	0	3486	1	3412	MOD	skipped 0 overlaps; used 20 overlaps
108	0	5562	0	5562	NOV
109	0	16357	218	16251	MOD	skipped 0 overlaps; used 39 overlaps
110	0	2864	26	2853	MOD	skipped 0 overlaps; used 20 overlaps
111	0	2872	4	2846	MOD	skipped 0 overlaps; used 20 overlaps
112	0	16249	0	15594	MOD	skipped 0 overlaps; used 41 overlaps
113	0	10187	208	10168	MOD	skipped 0 overlaps; used 35 overlaps
114	0	8411	367	8404	MOD	skipped 0 overlaps; used 37 overlaps
115	0	3518	31	3387	MOD	skipped 0 overlaps; used 20 overlaps
116	0	2450	17	2450	MOD	skipped 0 overlaps; used 20 overlaps
117	0	4328	1959	3663	MOD	skipped 0 overlaps; used 8 overlaps
118	0	8117	1456	8098	MOD	skipped 0 overlaps; used 30 overlaps
119	0	10471	11	10470	MOD	skipped 0 overlaps; used 35 overlaps
120	0	14790	74	10215	MOD	skipped 0 overlaps; used 39 overlaps
121	0	5391	553	5320	MOD	skipped 0 overlaps; used 17 overlaps
122	0	18925	109	18897	MOD	skipped 0 overlaps; used 43 overlaps
123	0	8189	76	8185	MOD	skipped 0 overlaps; used 22 overlaps
124	0	14534	0	14534	NOC	skipped 0 overlaps; used 46 overlaps
125	0	14715	50	14711	MOD	skipped 0 overlaps; used 45 overlaps
