     read       raw corrected
       id    length    length
--------- --------- ---------
      357      8184      7677
      358      4422      3893
      359      5088      4876
      360     13651     12724
      361      5009      4824
      362     13918     12672
      363      7429      7173
      364      2406      2235
      365      3918      3736
      366     11208     10753
      367      9778      9738
      368      3621      3423
      369      2582      2531
      370      3640      3645
      371      1161      1161
      372      1529      1417
      374      1054      1054
      375      9494      8876
      376      5111      4815
      377     23477     22024
      378     12367     10820
      379     11482     10413
      380     21974     21248
      381      2308      2438
      382      1516      1293
      383      6631      6074
      384      9695      9128
      385     16727     15094
      386      6199      6131
      387      1143      1115
      388      7081      6678
      389     29190     27718
      390      2223      2110
      391      3922      3580
      392      4429      4042
      393      5457      4954
      394     16274     16592
      395      1627      1552
      396     23507     24054
      397      1153      1074
      398      4891      4848
      399      2389      2215
      400      2477      2247
      401      2348      2213
      402      1681      1679
      403      2313      2011
      404     15548     13937
      405      6874      6334
      406     17254     16787
      407      3223      2704
      408      4094      4001
      409      4483      4387
      410      3919      3654
      411      4268      3947
      412      4276      3918
      413      5219      5026
      414     17120     17353
      415      5851      5484
      416     15044     13222
      417     32675     30297
      418      2501      2377
      419     11025      9719
      420      2713      2632
      421      1628      1620
      422      2486      2314
      423     17315     15872
      424      5504      5210
      425      6205      5865
      426     14714     13753
      427      8429      7962
      428      6904      6712
      429      8825      8934
      430     41342     39634
      431      2307      2166
      432     19701     18683
      433      3396      3398
      434      3914      3410
      435      6114      5970
      436      1925      1950
      437     24148     24253
      438      6544      6185
      439      5038      4920
      440      6224      6064
      441     22336     21270
      442      1142      1142
      443     27610     26047
      444     28663     27066
      445     16128     15165
      446     14689     13647
      447      3021      2896
      448     37776     34933
      449      3663      3667
      450      3793      3673
      451      1097      1079
      452      1800      1733
      453      8176      8006
      454      3752      3392
      455      2818      2731
      456      2739      2631
      457      2768      2627
      458      2679      2598
      459      2627      2608
      460      2613      2610
      461      6912      6405
      462     16651     15816
      463      8597      8071
      464      2798      2798
      465      9478      9228
      466     16900     15076
      467      1041      1041
      468     10821     10060
      469     11935     11491
      470      2483      2289
      471      5535      5144
      472     21150     20262
      473     23776     22918
      474      2612      2581
      475     11515     10906
      476      8156      7715
      477      5285      4676
      478      9217      7981
      479      4092      3515
      480     13882     13302
      481     15611     14134
      482     12744     12808
      483      6275      5763
      484      5001      4927
      485     13809     12366
      486      3811      3735
      487     11896     11152
      488      4808      4705
      489      7765      7827
      490     15414     14996
      491     10701     11607
      492      4056      4035
      493     18298     18035
      494     12906     12593
      495     26597     24506
      496      1234      1204
      497      3128      2980
      498     16847     14913
      499     11786     11773
      500      2801      2801
      501      3675      3214
      502      1184      1117
      504      1806      1664
      505      1729      1679
      506      1794      1661
      507      1701      1675
      508      2951      2797
      509      2605      2569
      510     16736     15815
      511     18277     17565
      512     18531     18598
      513      6620      6727
      514      6876      6719
      515      2342      2342
      516     15707     14186
      517      1908      1908
      518     17337     16974
      519     27579     26235
      520     16660     15863
      521     15534     14942
      522     10049      9642
      523      6993      6797
      524      9576      9576
      525     11917     11864
      526      1333      1278
      527      7241      6701
      528      8973      8583
      529      8560      8059
      530      1997      1955
      531      1875      1911
      532      6640      6538
      533      6559      6211
      534      6579      6200
      535      2846      2718
      536      5717      5071
      537      9888      8863
      538     13754     12588
      539      2721      2417
      540      3998      3576
      541      1986      1789
      542      2039      2095
      543     20666     19464
      544     19471     19530
      545      8539      8083
      546     19646     19198
      547      2224      2036
      548     16517     15787
      549     12271     11369
      550     24267     23149
      551     14799     14911
      552      2056      2032
      553      6434      6422
      554      2058      1907
      555      6612      6355
      557      2594      2358
      558      3722      3722
      559     11911     10526
      560     19714     19338
      561      5640      5032
      562      8841      8531
      563      3374      3090
      564      2240      2240
      565      4794      4554
      566      4577      4361
      567      6906      6607
      568      7745      7370
      569      1091      1031
      570      4646      4542
      571      6591      6591
      572     13612     13080
      573      7726      7459
      574      4176      4016
      575     14878     13642
      577      3904      3567
      578      1373      1293
      579      2156      2049
      580      2158      2029
      581      2170      2037
      582     10565     10215
      583      2287      2064
      584      4973      4808
      585      5057      4796
      586      3201      3020
      587     10775     10203
      588      4089      3935
      589      7614      6756
      590     15002     14291
      591      7643      7470
      592      2023      2023
      593      3135      3024
      594      2893      2843
      595     13871     12294
      596     17509     16413
      597     10795     10795
      598     16336     15899
      599     20157     19262
      600      4827      3635
      601      3543      3305
      602      7655      7385
      603      7628      7329
      604      4263      3664
      605      1302      1302
      606      1560      1498
      607      6171      5194
      608     12130     11067
      609      1637      1587
      610      7645      7371
      611     13556     13078
      612     12908     12276
      613     23252     22048
      614     19408     17944
      615      5135      4747
      616     18194     17267
      617      6564      6312
      618     13463     12295
      619     19164     18895
      620     20382     19581
      621     13343     12979
      622      3171      2933
      623      3583      3152
      624      3661      3178
      625      2103      2103
      626      7864      7424
      627     11930     11623
      628      4091      3832
      629     11172     10978
      630     22434     21282
      631      3944      3753
      632     26082     24526
      633      3853      3609
      634     20877     19764
      635      3163      3163
      636     15697     15048
      637      4516      4157
      638      2063      1949
      639      5765      5174
      640      4775      4296
      641      2290      2173
      642     11917     11233
      643     17312     16335
      644      8296      7890
      645      2903      2697
      646     13146     12413
      647     11375      9887
      648      6162      5865
      649      7237      7135
      650      7125      7134
      651     17143     17065
      652      5207      5053
      653     19400     17493
      654     15557     14663
      655      1142      1055
      656      8547      8541
      657     10952     11082
      658     13521     12340
      659      1812      1712
      660      1494      1417
      661      6350      5991
      662      6011      5483
      663      5907      5567
      664     13554     13211
      665     12454     11867
      666      2863      2630
      667     15393     14838
      668      7222      6983
      669      1046      1046
      670      7545      7412
      671     15464     14474
      672      6275      6275
      673      1281      1281
      674      9753      9176
      675      5266      4910
      676      7732      7464
      677     22566     21858
      678      2821      2570
      679      9685      9148
      680      5669      4789
      681     18134     17917
      682     17722     15778
      683     14096     14101
      684      8689      8689
      685      1577      1493
      686      1525      1488
      687      1035       934
      688     11091     10671
      689      4908      4732
      690      4878      4741
      691      2925      2661
      692     11864     11309
      693      6858      6517
      694      6658      6442
      695      1451      1331
      696     18588     18538
      697     20431     20602
      698      3645      3463
      699     21400     20627
      700     16779     16355
      701      4688      4679
      702      4054      3785
      703     18099     17638
      704      8136      8030
      705     28319     24442
      706      1731      1534
      707      7051      6973
      708     17929     17583
      709      2877      2622
      710      5933      5711
      711      3383      3237
      712      1324      1324
      713      3030      2994
      714      1757      1578
      715      4318      3734
      716     18894     18174
      717      3460      3194
      718      3338      3159
      719      8260      7808
      720      2474      2323
      721      6480      5735
      722      5011      4914
      723      5833      5633
      724      4136      4031
      725      1696      1553
      726     14924     14350
      727      3453      3600
      728     12989     12497
      729     12584     12200
      730      7714      7324
      731     23609     22700
      732      9686      8827
      733      1491      1385
      734      3830      3614
      735      8514      7949
      736      2315      2251
      737     15447     14939
      738      3117      2692
      739      3397      3158
      740      3298      3298
      741      5213      4400
      742      3510      3412
      743      6502      6012
      744      1945      1663
      745      1952      1644
      746      1918      1706
      747     11848     11715
      748     11736     10789
      749      5244      4740
      750     24534     24204
      751      2828      2714
      752      4640      4415
      753      1527      1527
      754     13060     12704
      755     18695     18010
      756     20047     19429
      757     14237     13770
      758     26174     25055
      759      1112      1059
      760     10685      8839
      761      9531      9260
      762      1144      1040
      763      3699      3454
      764      6886      6557
      765     18998     18081
      766      3661      3661
      767      4260      4139
      768     11054     10581
      769      6160      5705
      770     21523     19427
      771     14797     13811
      772     23552     22084
